slot_id,x,y,z,sku_id,number,class
0,0,0,0,0,2.0,A
1,0,0,1,0,2.0,A
2,0,0,2,0,2.0,A
3,1,0,0,0,2.0,A
4,1,0,1,0,2.0,A
5,1,0,2,0,2.0,A
6,2,0,0,0,2.0,A
7,2,0,1,0,2.0,A
8,2,0,2,0,2.0,A
9,3,0,0,0,2.0,A
10,3,0,1,0,2.0,A
11,3,0,2,0,2.0,A
12,4,0,0,0,2.0,A
13,4,0,1,0,2.0,A
14,4,0,2,0,2.0,A
15,5,0,0,0,2.0,A
16,5,0,1,0,2.0,A
17,5,0,2,0,2.0,A
18,6,0,0,0,2.0,A
19,6,0,1,0,2.0,A
20,6,0,2,0,2.0,A
21,7,0,0,0,2.0,A
22,7,0,1,0,2.0,A
23,7,0,2,0,2.0,A
24,8,0,0,0,2.0,A
25,8,0,1,0,2.0,A
26,8,0,2,0,2.0,A
27,9,0,0,0,2.0,A
28,9,0,1,0,2.0,A
29,9,0,2,0,2.0,A
30,10,0,0,0,2.0,A
31,10,0,1,0,2.0,A
32,10,0,2,0,2.0,A
33,11,0,0,0,2.0,A
34,11,0,1,0,2.0,A
35,11,0,2,0,2.0,A
36,12,0,0,0,2.0,A
37,12,0,1,0,2.0,A
38,12,0,2,0,2.0,A
39,13,0,0,0,2.0,A
40,13,0,1,0,2.0,A
41,13,0,2,0,2.0,A
42,14,0,0,0,2.0,A
43,14,0,1,0,2.0,A
44,14,0,2,0,2.0,A
45,15,0,0,0,2.0,A
46,15,0,1,0,2.0,A
47,15,0,2,0,2.0,A
48,16,0,0,0,2.0,A
49,16,0,1,0,2.0,A
50,16,0,2,0,2.0,A
51,17,0,0,0,2.0,A
52,17,0,1,0,2.0,A
53,17,0,2,0,2.0,A
54,18,0,0,0,2.0,A
55,18,0,1,0,2.0,A
56,18,0,2,0,2.0,A
57,19,0,0,0,2.0,A
58,19,0,1,0,2.0,A
59,19,0,2,0,2.0,A
60,20,0,0,0,2.0,A
61,20,0,1,0,2.0,A
62,20,0,2,0,2.0,A
63,21,0,0,0,2.0,A
64,21,0,1,0,2.0,A
65,21,0,2,0,2.0,A
66,22,0,0,0,2.0,A
67,22,0,1,0,2.0,A
68,22,0,2,0,2.0,A
69,23,0,0,0,2.0,A
70,23,0,1,0,2.0,A
71,23,0,2,0,2.0,A
72,24,0,0,0,2.0,A
73,24,0,1,0,2.0,A
74,24,0,2,0,2.0,A
75,25,0,0,0,2.0,A
76,25,0,1,0,2.0,A
77,25,0,2,0,2.0,A
78,26,0,0,0,2.0,A
79,26,0,1,0,2.0,A
80,26,0,2,0,2.0,A
81,27,0,0,0,2.0,A
82,27,0,1,0,2.0,A
83,27,0,2,0,2.0,A
84,28,0,0,0,2.0,A
85,28,0,1,0,2.0,A
86,28,0,2,0,2.0,A
87,29,0,0,0,2.0,A
88,29,0,1,0,2.0,A
89,29,0,2,0,2.0,A
90,30,0,0,0,2.0,A
91,30,0,1,0,2.0,A
92,30,0,2,0,2.0,A
93,31,0,0,0,2.0,A
94,31,0,1,0,2.0,A
95,31,0,2,0,2.0,A
96,32,0,0,0,2.0,A
97,32,0,1,0,2.0,A
98,32,0,2,0,2.0,A
99,33,0,0,0,2.0,A
100,33,0,1,0,2.0,A
101,33,0,2,0,2.0,A
102,34,0,0,0,2.0,A
103,34,0,1,0,2.0,A
104,34,0,2,0,2.0,A
105,35,0,0,0,2.0,A
106,35,0,1,0,2.0,A
107,35,0,2,0,2.0,A
108,36,0,0,0,2.0,A
109,36,0,1,0,2.0,A
110,36,0,2,0,2.0,A
111,37,0,0,0,2.0,A
112,37,0,1,0,2.0,A
113,37,0,2,0,2.0,A
114,38,0,0,0,2.0,A
115,38,0,1,0,2.0,A
116,38,0,2,0,2.0,A
117,39,0,0,0,2.0,A
118,39,0,1,0,2.0,A
119,39,0,2,0,2.0,A
120,40,0,0,0,2.0,A
121,40,0,1,0,2.0,A
122,40,0,2,0,2.0,A
123,41,0,0,0,2.0,A
124,41,0,1,0,2.0,A
125,41,0,2,0,2.0,A
126,42,0,0,0,2.0,A
127,42,0,1,0,2.0,A
128,42,0,2,0,2.0,A
129,43,0,0,0,2.0,A
130,43,0,1,0,2.0,A
131,43,0,2,0,2.0,A
132,44,0,0,0,2.0,A
133,44,0,1,0,2.0,A
134,44,0,2,0,2.0,A
135,45,0,0,0,2.0,A
136,45,0,1,0,2.0,A
137,45,0,2,0,2.0,A
138,46,0,0,0,2.0,A
139,46,0,1,0,2.0,A
140,46,0,2,0,2.0,A
141,47,0,0,0,2.0,A
142,47,0,1,0,2.0,A
143,47,0,2,0,2.0,A
144,48,0,0,0,2.0,A
145,48,0,1,0,2.0,A
146,48,0,2,0,2.0,A
147,49,0,0,0,2.0,A
148,49,0,1,0,2.0,A
149,49,0,2,0,2.0,A
150,0,1,0,0,2.0,A
151,0,1,1,0,2.0,A
152,0,1,2,0,2.0,A
153,1,1,0,0,2.0,A
154,1,1,1,0,2.0,A
155,1,1,2,0,2.0,A
156,2,1,0,0,2.0,A
157,2,1,1,0,2.0,A
158,2,1,2,0,2.0,A
159,3,1,0,0,2.0,A
160,3,1,1,0,2.0,A
161,3,1,2,0,2.0,A
162,4,1,0,0,2.0,A
163,4,1,1,0,2.0,A
164,4,1,2,0,2.0,A
165,5,1,0,0,2.0,A
166,5,1,1,0,2.0,A
167,5,1,2,0,2.0,A
168,6,1,0,0,2.0,A
169,6,1,1,0,2.0,A
170,6,1,2,0,2.0,A
171,7,1,0,0,2.0,A
172,7,1,1,0,2.0,A
173,7,1,2,0,2.0,A
174,8,1,0,0,2.0,A
175,8,1,1,0,2.0,A
176,8,1,2,0,2.0,A
177,9,1,0,0,2.0,A
178,9,1,1,0,2.0,A
179,9,1,2,1,18.0,A
180,10,1,0,1,18.0,A
181,10,1,1,1,18.0,A
182,10,1,2,1,18.0,A
183,11,1,0,1,18.0,A
184,11,1,1,1,18.0,A
185,11,1,2,1,18.0,A
186,12,1,0,1,18.0,A
187,12,1,1,1,18.0,A
188,12,1,2,1,18.0,A
189,13,1,0,1,18.0,A
190,13,1,1,1,18.0,A
191,13,1,2,1,18.0,A
192,14,1,0,1,18.0,A
193,14,1,1,1,18.0,A
194,14,1,2,1,18.0,A
195,15,1,0,1,18.0,A
196,15,1,1,1,18.0,A
197,15,1,2,1,18.0,A
198,16,1,0,1,18.0,A
199,16,1,1,1,18.0,A
200,16,1,2,2,10.0,A
201,17,1,0,2,12.0,A
202,17,1,1,2,12.0,A
203,17,1,2,2,10.0,A
204,18,1,0,2,12.0,A
205,18,1,1,2,12.0,A
206,18,1,2,2,10.0,A
207,19,1,0,2,12.0,A
208,19,1,1,2,12.0,A
209,19,1,2,2,10.0,A
210,20,1,0,2,12.0,A
211,20,1,1,2,12.0,A
212,20,1,2,3,9.0,A
213,21,1,0,3,9.0,A
214,21,1,1,3,9.0,A
215,21,1,2,3,9.0,A
216,22,1,0,3,9.0,A
217,22,1,1,3,9.0,A
218,22,1,2,3,9.0,A
219,23,1,0,3,9.0,A
220,23,1,1,3,9.0,A
221,23,1,2,3,9.0,A
222,24,1,0,3,9.0,A
223,24,1,1,3,9.0,A
224,24,1,2,3,9.0,A
225,25,1,0,3,9.0,A
226,25,1,1,3,9.0,A
227,25,1,2,3,9.0,A
228,26,1,0,3,9.0,A
229,26,1,1,3,9.0,A
230,26,1,2,3,9.0,A
231,27,1,0,3,9.0,A
232,27,1,1,3,9.0,A
233,27,1,2,3,9.0,A
234,28,1,0,3,9.0,A
235,28,1,1,3,9.0,A
236,28,1,2,3,9.0,A
237,29,1,0,3,9.0,A
238,29,1,1,3,9.0,A
239,29,1,2,3,9.0,A
240,30,1,0,3,9.0,A
241,30,1,1,3,9.0,A
242,30,1,2,3,9.0,A
243,31,1,0,3,9.0,A
244,31,1,1,3,9.0,A
245,31,1,2,3,9.0,A
246,32,1,0,3,9.0,A
247,32,1,1,3,9.0,A
248,32,1,2,3,9.0,A
249,33,1,0,3,9.0,A
250,33,1,1,3,9.0,A
251,33,1,2,3,9.0,A
252,34,1,0,3,9.0,A
253,34,1,1,3,9.0,A
254,34,1,2,3,9.0,A
255,35,1,0,3,9.0,A
256,35,1,1,3,9.0,A
257,35,1,2,3,9.0,A
258,36,1,0,3,9.0,A
259,36,1,1,3,9.0,A
260,36,1,2,3,9.0,A
261,37,1,0,3,9.0,A
262,37,1,1,4,27.0,A
263,37,1,2,4,27.0,A
264,38,1,0,4,27.0,A
265,38,1,1,4,27.0,A
266,38,1,2,4,27.0,A
267,39,1,0,4,27.0,A
268,39,1,1,4,27.0,A
269,39,1,2,4,27.0,A
270,40,1,0,4,27.0,A
271,40,1,1,5,134.0,A
272,40,1,2,5,89.0,A
273,41,1,0,6,150.0,A
274,41,1,1,6,146.0,A
275,41,1,2,6,97.0,A
276,42,1,0,6,150.0,A
277,42,1,1,7,36.0,A
278,42,1,2,7,30.0,A
279,43,1,0,7,36.0,A
280,43,1,1,7,36.0,A
281,43,1,2,7,30.0,A
282,44,1,0,7,36.0,A
283,44,1,1,7,36.0,A
284,44,1,2,8,9.0,A
285,45,1,0,8,9.0,A
286,45,1,1,8,9.0,A
287,45,1,2,8,9.0,A
288,46,1,0,8,9.0,A
289,46,1,1,8,9.0,A
290,46,1,2,8,9.0,A
291,47,1,0,8,9.0,A
292,47,1,1,8,9.0,A
293,47,1,2,8,9.0,A
294,48,1,0,8,9.0,A
295,48,1,1,8,9.0,A
296,48,1,2,8,9.0,A
297,49,1,0,8,9.0,A
298,49,1,1,8,9.0,A
299,49,1,2,8,9.0,A
300,0,2,0,8,9.0,A
301,0,2,1,8,9.0,A
302,0,2,2,8,9.0,A
303,1,2,0,8,9.0,A
304,1,2,1,8,9.0,A
305,1,2,2,8,9.0,A
306,2,2,0,8,9.0,A
307,2,2,1,8,9.0,A
308,2,2,2,8,9.0,A
309,3,2,0,8,9.0,A
310,3,2,1,8,9.0,A
311,3,2,2,8,9.0,A
312,4,2,0,8,9.0,A
313,4,2,1,8,9.0,A
314,4,2,2,8,9.0,A
315,5,2,0,8,9.0,A
316,5,2,1,8,9.0,A
317,5,2,2,8,9.0,A
318,6,2,0,8,9.0,A
319,6,2,1,8,9.0,A
320,6,2,2,8,9.0,A
321,7,2,0,8,9.0,A
322,7,2,1,8,9.0,A
323,7,2,2,8,9.0,A
324,8,2,0,8,9.0,A
325,8,2,1,8,9.0,A
326,8,2,2,8,9.0,A
327,9,2,0,9,660.0,A
328,9,2,1,10,1.0,A
329,9,2,2,10,1.0,A
330,10,2,0,10,1.0,A
331,10,2,1,10,1.0,A
332,10,2,2,10,1.0,A
333,11,2,0,10,1.0,A
334,11,2,1,10,1.0,A
335,11,2,2,10,1.0,A
336,12,2,0,10,1.0,A
337,12,2,1,10,1.0,A
338,12,2,2,10,1.0,A
339,13,2,0,10,1.0,A
340,13,2,1,10,1.0,A
341,13,2,2,10,1.0,A
342,14,2,0,10,1.0,A
343,14,2,1,10,1.0,A
344,14,2,2,10,1.0,A
345,15,2,0,10,1.0,A
346,15,2,1,10,1.0,A
347,15,2,2,10,1.0,A
348,16,2,0,10,1.0,A
349,16,2,1,10,1.0,A
350,16,2,2,10,1.0,A
351,17,2,0,10,1.0,A
352,17,2,1,10,1.0,A
353,17,2,2,10,1.0,A
354,18,2,0,10,1.0,A
355,18,2,1,10,1.0,A
356,18,2,2,10,1.0,A
357,19,2,0,10,1.0,A
358,19,2,1,10,1.0,A
359,19,2,2,10,1.0,A
360,20,2,0,10,1.0,A
361,20,2,1,10,1.0,A
362,20,2,2,10,1.0,A
363,21,2,0,10,1.0,A
364,21,2,1,10,1.0,A
365,21,2,2,10,1.0,A
366,22,2,0,10,1.0,A
367,22,2,1,10,1.0,A
368,22,2,2,10,1.0,A
369,23,2,0,10,1.0,A
370,23,2,1,10,1.0,A
371,23,2,2,10,1.0,A
372,24,2,0,10,1.0,A
373,24,2,1,10,1.0,A
374,24,2,2,10,1.0,A
375,25,2,0,10,1.0,A
376,25,2,1,10,1.0,A
377,25,2,2,10,1.0,A
378,26,2,0,10,1.0,A
379,26,2,1,10,1.0,A
380,26,2,2,10,1.0,A
381,27,2,0,10,1.0,A
382,27,2,1,10,1.0,A
383,27,2,2,10,1.0,A
384,28,2,0,10,1.0,A
385,28,2,1,10,1.0,A
386,28,2,2,10,1.0,A
387,29,2,0,10,1.0,A
388,29,2,1,10,1.0,A
389,29,2,2,10,1.0,A
390,30,2,0,10,1.0,A
391,30,2,1,10,1.0,A
392,30,2,2,10,1.0,A
393,31,2,0,10,1.0,A
394,31,2,1,10,1.0,A
395,31,2,2,10,1.0,A
396,32,2,0,10,1.0,A
397,32,2,1,10,1.0,A
398,32,2,2,10,1.0,A
399,33,2,0,10,1.0,A
400,33,2,1,10,1.0,A
401,33,2,2,10,1.0,A
402,34,2,0,10,1.0,A
403,34,2,1,10,1.0,A
404,34,2,2,10,1.0,A
405,35,2,0,10,1.0,A
406,35,2,1,10,1.0,A
407,35,2,2,10,1.0,A
408,36,2,0,10,1.0,A
409,36,2,1,10,1.0,A
410,36,2,2,10,1.0,A
411,37,2,0,10,1.0,A
412,37,2,1,10,1.0,A
413,37,2,2,10,1.0,A
414,38,2,0,10,1.0,A
415,38,2,1,10,1.0,A
416,38,2,2,10,1.0,A
417,39,2,0,10,1.0,A
418,39,2,1,10,1.0,A
419,39,2,2,10,1.0,A
420,40,2,0,10,1.0,A
421,40,2,1,10,1.0,A
422,40,2,2,10,1.0,A
423,41,2,0,10,1.0,A
424,41,2,1,10,1.0,A
425,41,2,2,10,1.0,A
426,42,2,0,10,1.0,A
427,42,2,1,10,1.0,A
428,42,2,2,10,1.0,A
429,43,2,0,10,1.0,A
430,43,2,1,10,1.0,A
431,43,2,2,10,1.0,A
432,44,2,0,10,1.0,A
433,44,2,1,10,1.0,A
434,44,2,2,10,1.0,A
435,45,2,0,10,1.0,A
436,45,2,1,10,1.0,A
437,45,2,2,10,1.0,A
438,46,2,0,10,1.0,A
439,46,2,1,10,1.0,A
440,46,2,2,10,1.0,A
441,47,2,0,10,1.0,A
442,47,2,1,10,1.0,A
443,47,2,2,10,1.0,A
444,48,2,0,10,1.0,A
445,48,2,1,10,1.0,A
446,48,2,2,10,1.0,A
447,49,2,0,10,1.0,A
448,49,2,1,10,1.0,A
449,49,2,2,10,1.0,A
450,0,3,0,10,1.0,A
451,0,3,1,10,1.0,A
452,0,3,2,10,1.0,A
453,1,3,0,10,1.0,A
454,1,3,1,10,1.0,A
455,1,3,2,10,1.0,A
456,2,3,0,10,1.0,A
457,2,3,1,10,1.0,A
458,2,3,2,10,1.0,A
459,3,3,0,10,1.0,A
460,3,3,1,10,1.0,A
461,3,3,2,10,1.0,A
