slot_id,x,y,level,max_capacity,sku,quantity
0,0,0,1,999,134,299
1,1,0,1,999,184,88
2,2,0,1,999,171,88
3,3,0,1,999,96,143
4,4,0,1,999,154,143
5,5,0,1,999,66,88
6,6,0,1,999,92,299
7,7,0,1,999,107,88
8,8,0,1,999,193,143
9,9,0,1,999,170,299
10,10,0,1,999,98,88
11,11,0,1,999,131,88
12,12,0,1,999,40,88
13,13,0,1,999,161,88
14,14,0,1,999,111,88
15,15,0,1,999,107,88
16,16,0,1,999,154,88
17,17,0,1,999,127,299
18,18,0,1,999,14,88
19,19,0,1,999,57,143
20,20,0,1,999,35,143
21,21,0,1,999,147,143
22,22,0,1,999,7,299
23,23,0,1,999,40,88
24,24,0,1,999,120,88
25,25,0,1,999,139,88
26,26,0,1,999,101,143
27,27,0,1,999,173,88
28,28,0,1,999,184,88
29,29,0,1,999,26,143
30,30,0,1,999,191,143
31,31,0,1,999,123,143
32,0,1,1,999,127,299
33,1,1,1,999,19,88
34,2,1,1,999,124,88
35,3,1,1,999,145,299
36,4,1,1,999,116,88
37,5,1,1,999,16,88
38,6,1,1,999,105,143
39,7,1,1,999,188,88
40,8,1,1,999,145,299
41,9,1,1,999,27,88
42,10,1,1,999,192,88
43,11,1,1,999,192,143
44,12,1,1,999,34,299
45,13,1,1,999,160,88
46,14,1,1,999,81,143
47,15,1,1,999,119,88
48,16,1,1,999,89,88
49,17,1,1,999,157,88
50,18,1,1,999,200,88
51,19,1,1,999,159,299
52,20,1,1,999,187,143
53,21,1,1,999,190,143
54,22,1,1,999,18,143
55,23,1,1,999,50,299
56,24,1,1,999,145,88
57,25,1,1,999,118,299
58,26,1,1,999,10,88
59,27,1,1,999,19,88
60,28,1,1,999,104,88
61,29,1,1,999,123,88
62,30,1,1,999,33,143
63,31,1,1,999,34,88
64,0,2,1,999,25,143
65,1,2,1,999,113,143
66,2,2,1,999,1,88
67,3,2,1,999,115,143
68,4,2,1,999,95,299
69,5,2,1,999,93,143
70,6,2,1,999,136,88
71,7,2,1,999,105,299
72,8,2,1,999,146,143
73,9,2,1,999,153,299
74,10,2,1,999,184,88
75,11,2,1,999,160,143
76,12,2,1,999,104,143
77,13,2,1,999,98,143
78,14,2,1,999,47,88
79,15,2,1,999,120,88
80,16,2,1,999,27,88
81,17,2,1,999,187,143
82,18,2,1,999,169,299
83,19,2,1,999,24,88
84,20,2,1,999,157,88
85,21,2,1,999,23,88
86,22,2,1,999,144,299
87,23,2,1,999,17,143
88,24,2,1,999,98,88
89,25,2,1,999,132,88
90,26,2,1,999,146,143
91,27,2,1,999,84,88
92,28,2,1,999,185,88
93,29,2,1,999,155,143
94,30,2,1,999,41,88
95,31,2,1,999,134,143
96,0,3,1,999,146,143
97,1,3,1,999,67,88
98,2,3,1,999,148,88
