order_id,create_ts,sku_list,waiting_time
O00000,1.4265269200374624,"[21, 2, 21, 97, 742]",10800
O00001,10.164662762650604,"[496, 13, 577, 281, 182, 13, 1, 229, 7, 4]",10800
O00002,29.203733292367247,"[2, 3, 110, 135, 965, 324, 111, 6]",21600
O00003,51.28507378971173,"[7, 322, 21, 176, 4, 13]",43200
O00004,78.84382443536398,"[2, 255, 704, 2, 15, 1, 484, 1, 2]",21600
O00005,106.47007082170396,"[37, 6, 15, 264, 456, 225, 923, 438]",10800
O00006,123.56567628110908,"[1, 1, 714, 2, 1]",21600
O00007,137.15605749967892,"[70, 26, 9, 3, 1, 2, 752, 158]",21600
O00008,176.1382815751708,"[2, 207, 759, 491, 1, 27, 356, 11]",21600
O00009,184.80474092924513,"[1, 180, 433, 1, 81, 295, 1]",21600
O00010,190.16289770791735,"[6, 1, 4, 876, 1]",21600
O00011,192.76307252297823,"[244, 16, 12, 391, 644, 481]",21600
O00012,241.0508842906044,"[10, 80, 6, 1, 85, 13]",21600
O00013,259.547889263341,"[521, 7, 66, 215, 6, 10, 2, 11, 293]",21600
O00014,265.1769249422831,"[699, 12, 1, 299, 1, 86]",21600
O00015,265.6690750353359,"[255, 957, 64, 2, 30]",43200
O00016,429.4702453884382,"[875, 10, 128, 106, 10, 1, 847, 1, 2, 10]",10800
O00017,434.1895103272191,"[40, 2, 8, 305, 1, 286, 16, 1, 1]",21600
O00018,533.0450294089301,"[1, 782, 1, 2, 463, 12, 1, 6]",10800
O00019,555.5293309390302,"[1, 980, 806, 27, 11, 11, 1]",21600
O00020,678.5273186558011,"[113, 2, 180, 567, 1, 1, 47]",10800
O00021,731.9144576356518,"[910, 1, 48, 6, 266, 3]",10800
O00022,834.4571828147515,"[2, 31, 34, 23, 25, 1, 3, 1, 25]",43200
O00023,846.2636463413651,"[13, 146, 804, 21, 928, 3, 4]",43200
O00024,853.2158919449272,"[3, 2, 25, 4, 1, 446, 3, 2, 12]",21600
O00025,878.5335315044258,"[4, 17, 10, 31, 21, 1, 30, 66]",43200
O00026,885.1714094162999,"[6, 4, 995, 58, 2, 1, 303]",10800
O00027,894.9448569823985,"[2, 533, 4, 16, 3]",21600
O00028,921.6767022341196,"[3, 18, 10, 2, 248, 4, 120, 23, 2, 4, 4]",43200
O00029,928.272137053416,"[12, 2, 67, 424, 1, 6, 251, 674]",43200
O00030,938.6177698094186,"[8, 1, 32, 78, 4, 288, 2, 8, 1, 294, 316]",43200
O00031,970.3396896531222,"[7, 1, 502, 30, 1, 234, 15]",43200
O00032,1017.9527260612698,"[951, 4, 1, 486, 907, 25, 166, 8, 7, 3]",10800
O00033,1019.4487575395125,"[760, 2, 161, 510]",21600
O00034,1041.0006721669724,"[2, 4, 7, 303, 392, 3, 96]",21600
O00035,1052.1692731491821,"[56, 111, 2, 1, 13, 3]",21600
O00036,1071.292784211417,"[964, 263, 31, 446, 42, 800, 37, 250, 19, 3, 1]",21600
O00037,1090.5435248936208,"[1, 2, 7, 3, 4, 79, 803, 6, 4]",21600
O00038,1108.1417861111966,"[33, 7, 1, 338, 3, 56, 6]",21600
O00039,1114.4634030133593,"[1, 78, 594, 105, 18, 1, 112, 2]",21600
O00040,1128.1762418633239,"[30, 25, 3, 1, 174, 501, 25]",10800
O00041,1129.8727271510438,"[3, 14, 1, 65, 54, 17]",21600
O00042,1149.101994806026,"[69, 836, 24, 737, 2, 751, 214, 887]",21600
O00043,1195.190772169028,"[4, 970, 1, 7]",21600
O00044,1239.2730775543182,"[5, 382, 349, 1, 28, 2]",10800
O00045,1247.7158465972673,"[2, 14, 5, 117, 193, 1, 21]",43200
O00046,1251.3944261086367,"[43, 1, 8, 1, 156, 475, 18]",10800
O00047,1267.2547679413226,"[838, 7, 266, 2, 383]",21600
O00048,1277.6642361759957,"[4, 195, 11, 256, 6, 12, 297, 274, 8]",21600
O00049,1308.7735347219632,"[69, 731, 1, 1, 964]",43200
O00050,1327.4728777588628,"[8, 38, 2, 1, 4, 1, 4]",10800
O00051,1332.6612933793208,"[10, 7, 1, 3]",43200
O00052,1365.0925201277323,"[33, 711, 1, 552, 207, 1, 14, 19, 12, 987, 328]",21600
O00053,1372.9601259315207,"[14, 32, 8, 962]",21600
O00054,1375.685312766119,"[20, 1, 590, 1, 4, 1, 820, 7, 560]",10800
O00055,1382.6819900424182,"[848, 552, 38, 1, 525, 8, 14]",43200
O00056,1386.3554682032661,"[448, 1, 7, 1, 2, 9, 5, 9, 11]",10800
O00057,1405.2265868415318,"[11, 10, 2, 1]",21600
O00058,1457.6988758692708,"[21, 61, 53, 141, 835, 58, 15, 3]",43200
O00059,1507.187515530029,"[3, 111, 5, 676, 1, 24, 17, 39, 65, 11, 8]",10800
O00060,1623.0433395983562,"[1, 13, 3, 70, 76, 384, 44]",21600
O00061,1628.5326432298268,"[2, 668, 620, 1, 1, 3, 28, 474]",43200
O00062,1628.6954042127074,"[4, 9, 22, 6, 9, 62, 2, 136]",10800
O00063,1629.2453457585434,"[1, 704, 983, 9, 4]",10800
O00064,1661.016558384929,"[605, 57, 14, 28, 3, 1, 1]",21600
O00065,1666.8105442935855,"[1, 82, 725, 3, 26, 1, 79, 134]",21600
O00066,1682.970387787885,"[4, 1, 3, 510, 87]",21600
O00067,1706.7631407704434,"[615, 9, 2, 33, 1, 690, 1, 157]",10800
O00068,1723.252087311128,"[646, 55, 193, 1, 5, 44, 22, 1, 2]",21600
O00069,1737.5981717698412,"[2, 9, 120, 830, 126, 351, 627]",21600
O00070,1765.9616631496801,"[1, 34, 7, 42, 462, 6]",21600
O00071,1784.3775884025383,"[5, 1, 22, 957, 102, 1, 1, 51]",21600
O00072,1797.1690057380931,"[1, 1, 1, 1, 7, 20, 197, 1, 14]",21600
O00073,1851.6983798527851,"[1, 116, 240, 4, 68, 60, 5, 1, 786, 39]",21600
O00074,1854.5668618391048,"[724, 599, 12, 1, 705, 12, 427]",21600
O00075,1876.9444952242911,"[116, 12, 78, 937, 2, 3, 4, 651, 390, 223, 341]",21600
O00076,1897.4755528086462,"[482, 141, 2, 219, 4, 878, 1, 8, 2, 155, 1, 57]",10800
O00077,1935.1886801397386,"[2, 459, 1, 2, 3, 31, 3, 757, 271]",21600
O00078,1960.2003585757534,"[1, 1, 2, 953, 109, 186, 4, 1]",21600
O00079,1972.1329419066687,"[3, 331, 185, 359, 719, 137, 467, 1]",10800
O00080,1990.2546411775688,"[2, 1, 369, 1, 5, 5, 1, 22]",43200
O00081,2046.0401882020003,"[3, 316, 189, 10, 270, 17]",10800
O00082,2047.8889794163147,"[3, 468, 10, 603, 222, 977, 14]",21600
O00083,2054.640002077643,"[14, 14, 428, 128, 1, 1, 4, 43]",10800
O00084,2057.035255729327,"[53, 53, 1, 1, 122, 206, 925]",21600
O00085,2070.622915673433,"[10, 644, 697, 442, 21, 1, 853]",10800
O00086,2114.599687902401,"[1, 316, 90, 243]",21600
O00087,2116.6021195756384,"[4, 737, 582, 5, 2, 38, 2, 1, 4]",21600
O00088,2161.8695029519045,"[71, 23, 1, 115, 1, 1, 1, 2, 6]",21600
O00089,2183.326373659539,"[204, 486, 856, 1, 86]",10800
O00090,2196.465882890504,"[5, 893, 7, 24, 6, 100, 435]",10800
O00091,2231.356114582316,"[122, 2, 383, 21, 391, 892, 117]",21600
O00092,2235.969750191892,"[3, 94, 10, 13, 716, 1, 7, 109, 3]",21600
O00093,2254.9450912513475,"[277, 3, 22, 1, 4, 621, 7, 6, 20]",10800
O00094,2269.525546242545,"[4, 2, 7, 2, 49, 1, 457, 804]",21600
O00095,2284.429986071433,"[535, 429, 502, 1, 8]",10800
O00096,2292.3825761950525,"[1, 394, 2, 1, 1, 288, 908, 1, 821, 29, 1]",21600
O00097,2318.114188719236,"[2, 2, 184, 57, 28, 1, 1, 479]",10800
O00098,2365.1532403680703,"[8, 5, 2, 284, 185, 18]",21600
O00099,2367.646587482052,"[2, 351, 8, 44, 7, 1, 6, 972, 4, 1]",10800
O00100,2408.450364985478,"[64, 1, 1]",21600
O00101,2413.99240533066,"[2, 36, 754, 27, 7, 235, 5]",10800
O00102,2465.518055632689,"[141, 1, 75, 160, 26, 390, 566]",10800
O00103,2467.4801746221765,"[97, 51, 5, 799, 1]",10800
O00104,2490.2233412115547,"[34, 723, 1, 9, 5, 2, 788, 685, 1]",10800
O00105,2520.330468189588,"[30, 60, 6, 81, 6, 372, 2, 858, 615]",21600
O00106,2570.9275725308307,"[1, 760, 3, 18, 2]",43200
O00107,2574.0662492358683,"[1, 359, 1, 37, 33, 216]",21600
O00108,2580.0197629239015,"[5, 1, 16, 216, 2, 1]",43200
O00109,2654.553980363005,"[62, 671, 1, 7, 1, 4, 1, 280, 359]",10800
O00110,2656.2216946639933,"[1, 1, 125, 18, 55, 55, 776]",21600
O00111,2721.944194812639,"[14, 3, 84, 52, 1, 14]",10800
O00112,2733.9182591285994,"[561, 303, 109, 1, 33, 1, 820]",10800
O00113,2735.703485150391,"[24, 3, 2, 424, 362, 7, 1, 135]",21600
O00114,2760.0045205055426,"[130, 495, 973, 993, 708, 304, 6, 6, 288]",21600
O00115,2761.014862737391,"[11, 906, 435, 626, 1, 267, 5, 32]",43200
O00116,2761.049753655391,"[2, 3, 207, 9, 129, 249]",43200
O00117,2765.766052827901,"[171, 1, 96, 85, 595, 494, 5, 703, 1, 8, 5]",21600
O00118,2776.8916193258788,"[6, 2, 76, 3, 3, 10, 9, 5, 6, 5, 805]",21600
O00119,2799.68652439021,"[2, 118, 1, 1, 62, 5, 1]",43200
O00120,2811.0215584116795,"[1, 7, 528, 161, 570]",43200
O00121,2851.378574351392,"[552, 70, 4, 807, 3, 352]",10800
O00122,2866.664233183274,"[6, 1, 22, 4, 129, 245, 1]",10800
O00123,2887.3995488431706,"[36, 226, 586, 442, 1]",43200
O00124,2896.4933640024974,"[175, 3, 1, 62, 14, 1, 6, 1, 240]",43200
O00125,2909.586998552595,"[66, 63, 16, 16, 500, 47, 611]",10800
O00126,2935.410844107752,"[736, 25, 14, 5, 324, 755, 309, 197, 185]",21600
O00127,2971.0268658253462,"[3, 15, 9, 102, 471]",21600
O00128,2980.045483091779,"[23, 279, 897, 63, 126, 10, 1, 503]",10800
O00129,3039.5447141501177,"[1, 511, 337, 760, 2, 37]",43200
O00130,3056.8174916565454,"[6, 2, 2, 445, 10, 35, 544, 12, 38, 221, 3]",21600
O00131,3081.759597840872,"[44, 35, 31, 8, 31, 1, 2, 3]",43200
O00132,3116.9739211067917,"[1, 1, 6, 376, 8]",21600
O00133,3128.1657291517504,"[16, 67, 39, 1, 1, 29, 1, 77, 10]",10800
O00134,3140.4162412613787,"[698, 1, 3, 1, 7, 541, 955, 47]",21600
O00135,3143.5634296277103,"[2, 4, 38, 64, 4, 1, 3, 35, 166, 1]",21600
O00136,3191.666606662007,"[26, 3, 52, 2, 1, 5, 816, 12, 15, 1]",21600
O00137,3292.9543450822216,"[2, 10, 686, 48, 1, 1, 374]",10800
O00138,3322.5364418665476,"[87, 5, 60, 839, 764, 577, 479, 6]",43200
O00139,3332.4864917870095,"[27, 474, 38, 710, 16, 35, 11, 1, 24]",10800
O00140,3378.5265464476006,"[17, 4, 17, 77, 67, 20, 40, 506]",21600
O00141,3397.6756324197254,"[1, 46, 923, 386, 643, 406, 1]",10800
O00142,3408.1907901836676,"[1, 5, 1, 2, 1, 2, 19, 405, 19]",21600
O00143,3432.7094130664805,"[292, 2, 7, 101, 58, 392, 1, 46, 25, 559, 257]",10800
O00144,3474.330000690317,"[7, 2, 562, 1, 751]",43200
O00145,3497.9146988493912,"[326, 790, 3, 5, 1, 118, 44]",43200
O00146,3523.0596840075364,"[176, 1, 1, 980, 18, 912, 1]",21600
