method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
DQN-Guided,0,1,0.0005555555555555556,0,0,0,0,0,0
DQN-Guided,0,2,0.0011111111111111111,0,0,0,0,0,0
DQN-Guided,0,3,0.0016666666666666666,0,0,0,0,0,0
DQN-Guided,0,4,0.0022222222222222222,0,0,0,0,0,0
DQN-Guided,0,5,0.002777777777777778,0,0,0,0,0,0
DQN-Guided,0,6,0.0033333333333333335,0,0,0,0,0,0
DQN-Guided,0,7,0.003888888888888889,0,0,0,0,0,0
DQN-Guided,0,8,0.0044444444444444444,0,0,0,0,0,0
DQN-Guided,0,9,0.005,231,231,0,231,231,0
DQN-Guided,0,10,0.005555555555555556,231,231,0,0,0,0
DQN-Guided,0,11,0.006111111111111111,231,231,0,0,0,0
DQN-Guided,0,12,0.006666666666666667,421,421,0,190,190,0
DQN-Guided,0,13,0.007222222222222223,421,421,0,0,0,0
DQN-Guided,0,14,0.007777777777777778,421,421,0,0,0,0
DQN-Guided,0,15,0.008333333333333333,421,421,0,0,0,0
DQN-Guided,0,16,0.008888888888888889,421,421,0,0,0,0
DQN-Guided,0,17,0.009444444444444445,509,509,0,88,88,0
DQN-Guided,0,18,0.01,509,509,0,0,0,0
DQN-Guided,0,19,0.010555555555555556,509,509,0,0,0,0
DQN-Guided,0,20,0.011111111111111112,509,509,0,0,0,0
DQN-Guided,0,21,0.011666666666666667,509,509,0,0,0,0
DQN-Guided,0,22,0.012222222222222223,509,509,0,0,0,0
DQN-Guided,0,23,0.012777777777777779,509,509,0,0,0,0
DQN-Guided,0,24,0.013333333333333334,649,649,0,140,140,0
DQN-Guided,0,25,0.01388888888888889,708,708,0,59,59,0
DQN-Guided,0,26,0.014444444444444446,831,831,0,123,123,0
DQN-Guided,0,27,0.015000000000000001,999,999,0,168,168,0
DQN-Guided,0,28,0.015555555555555557,999,999,0,0,0,0
DQN-Guided,0,29,0.01611111111111111,999,999,0,0,0,0
DQN-Guided,0,30,0.016666666666666666,999,999,0,0,0,0
DQN-Guided,0,31,0.017222222222222222,999,999,0,0,0,0
DQN-Guided,0,32,0.017777777777777778,1098,1098,0,99,99,0
DQN-Guided,0,33,0.018333333333333333,1098,1098,0,0,0,0
DQN-Guided,0,34,0.01888888888888889,1098,1098,0,0,0,0
DQN-Guided,0,35,0.019444444444444445,1098,1098,0,0,0,0
DQN-Guided,0,36,0.02,1098,1098,0,0,0,0
DQN-Guided,0,37,0.020555555555555556,1215,1215,0,117,117,0
DQN-Guided,0,38,0.021111111111111112,1215,1215,0,0,0,0
DQN-Guided,0,39,0.021666666666666667,1215,1215,0,0,0,0
DQN-Guided,0,40,0.022222222222222223,1347,1347,0,132,132,0
DQN-Guided,0,41,0.02277777777777778,1438,1438,0,91,91,0
DQN-Guided,0,42,0.023333333333333334,1536,1536,0,98,98,0
DQN-Guided,0,43,0.02388888888888889,1536,1536,0,0,0,0
DQN-Guided,0,44,0.024444444444444446,1536,1536,0,0,0,0
DQN-Guided,0,45,0.025,1536,1536,0,0,0,0
DQN-Guided,0,46,0.025555555555555557,1644,1644,0,108,108,0
DQN-Guided,0,47,0.026111111111111113,1644,1644,0,0,0,0
DQN-Guided,0,48,0.02666666666666667,1703,1703,0,59,59,0
DQN-Guided,0,49,0.027222222222222224,1703,1703,0,0,0,0
DQN-Guided,0,50,0.02777777777777778,1703,1703,0,0,0,0
DQN-Guided,0,51,0.028333333333333335,1964,1964,0,261,261,0
DQN-Guided,0,52,0.02888888888888889,1964,1964,0,0,0,0
DQN-Guided,0,53,0.029444444444444447,1964,1964,0,0,0,0
DQN-Guided,0,54,0.030000000000000002,2040,2040,0,76,76,0
DQN-Guided,0,55,0.030555555555555558,2040,2040,0,0,0,0
DQN-Guided,0,56,0.031111111111111114,2040,2040,0,0,0,0
DQN-Guided,0,57,0.03166666666666667,2040,2040,0,0,0,0
DQN-Guided,0,58,0.03222222222222222,2128,2128,0,88,88,0
DQN-Guided,0,59,0.032777777777777774,2128,2128,0,0,0,0
DQN-Guided,0,60,0.033333333333333326,2161,2161,0,33,33,0
DQN-Guided,0,61,0.03388888888888888,2161,2161,0,0,0,0
DQN-Guided,0,62,0.03444444444444443,2161,2161,0,0,0,0
DQN-Guided,0,63,0.03499999999999998,2212,2212,0,51,51,0
DQN-Guided,0,64,0.035555555555555535,2212,2212,0,0,0,0
DQN-Guided,0,65,0.03611111111111109,2212,2212,0,0,0,0
DQN-Guided,0,66,0.03666666666666664,2212,2212,0,0,0,0
DQN-Guided,0,67,0.03722222222222219,2359,2359,0,147,147,0
DQN-Guided,0,68,0.037777777777777743,2359,2359,0,0,0,0
DQN-Guided,0,69,0.038333333333333296,2359,2359,0,0,0,0
DQN-Guided,0,70,0.03888888888888885,2359,2359,0,0,0,0
DQN-Guided,0,71,0.0394444444444444,2424,2424,0,65,65,0
DQN-Guided,0,72,0.03999999999999995,2424,2424,0,0,0,0
DQN-Guided,0,73,0.040555555555555504,2424,2424,0,0,0,0
DQN-Guided,0,74,0.04111111111111106,2424,2424,0,0,0,0
DQN-Guided,0,75,0.04166666666666661,2424,2424,0,0,0,0
DQN-Guided,0,76,0.04222222222222216,2424,2424,0,0,0,0
DQN-Guided,0,77,0.04277777777777771,2516,2516,0,92,92,0
