method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
Optimal,0,1,0.0005555555555555556,0,0,0,0,0,0
Optimal,0,2,0.0011111111111111111,0,0,0,0,0,0
Optimal,0,3,0.0016666666666666666,0,0,0,0,0,0
Optimal,0,4,0.0022222222222222222,0,0,0,0,0,0
Optimal,0,5,0.002777777777777778,0,0,0,0,0,0
Optimal,0,6,0.0033333333333333335,0,0,0,0,0,0
Optimal,0,7,0.003888888888888889,0,0,0,0,0,0
Optimal,0,8,0.0044444444444444444,0,0,0,0,0,0
Optimal,0,9,0.005,182,182,0,182,182,0
Optimal,0,10,0.005555555555555556,182,182,0,0,0,0
Optimal,0,11,0.006111111111111111,389,389,0,207,207,0
Optimal,0,12,0.006666666666666667,389,389,0,0,0,0
Optimal,0,13,0.007222222222222223,389,389,0,0,0,0
Optimal,0,14,0.007777777777777778,389,389,0,0,0,0
Optimal,0,15,0.008333333333333333,389,389,0,0,0,0
Optimal,0,16,0.008888888888888889,389,389,0,0,0,0
Optimal,0,17,0.009444444444444445,389,389,0,0,0,0
Optimal,0,18,0.01,389,389,0,0,0,0
Optimal,0,19,0.010555555555555556,389,389,0,0,0,0
Optimal,0,20,0.011111111111111112,820,820,0,431,431,0
Optimal,0,21,0.011666666666666667,820,820,0,0,0,0
Optimal,0,22,0.012222222222222223,820,820,0,0,0,0
Optimal,0,23,0.012777777777777779,820,820,0,0,0,0
Optimal,0,24,0.013333333333333334,820,820,0,0,0,0
Optimal,0,25,0.01388888888888889,820,820,0,0,0,0
Optimal,0,26,0.014444444444444446,820,820,0,0,0,0
Optimal,0,27,0.015000000000000001,820,820,0,0,0,0
Optimal,0,28,0.015555555555555557,820,820,0,0,0,0
Optimal,0,29,0.01611111111111111,820,820,0,0,0,0
Optimal,0,30,0.016666666666666666,820,820,0,0,0,0
Optimal,0,31,0.017222222222222222,820,820,0,0,0,0
Optimal,0,32,0.017777777777777778,820,820,0,0,0,0
Optimal,0,33,0.018333333333333333,820,820,0,0,0,0
Optimal,0,34,0.01888888888888889,820,820,0,0,0,0
Optimal,0,35,0.019444444444444445,1214,1214,0,394,394,0
Optimal,0,36,0.02,1214,1214,0,0,0,0
Optimal,0,37,0.020555555555555556,1427,1427,0,213,213,0
Optimal,0,38,0.021111111111111112,1427,1427,0,0,0,0
Optimal,0,39,0.021666666666666667,1427,1427,0,0,0,0
Optimal,0,40,0.022222222222222223,1658,1658,0,231,231,0
Optimal,0,41,0.02277777777777778,1658,1658,0,0,0,0
Optimal,0,42,0.023333333333333334,1658,1658,0,0,0,0
Optimal,0,43,0.02388888888888889,1658,1658,0,0,0,0
Optimal,0,44,0.024444444444444446,1658,1658,0,0,0,0
Optimal,0,45,0.025,1658,1658,0,0,0,0
Optimal,0,46,0.025555555555555557,1658,1658,0,0,0,0
Optimal,0,47,0.026111111111111113,1658,1658,0,0,0,0
Optimal,0,48,0.02666666666666667,1658,1658,0,0,0,0
Optimal,0,49,0.027222222222222224,1658,1658,0,0,0,0
Optimal,0,50,0.02777777777777778,1658,1658,0,0,0,0
Optimal,0,51,0.028333333333333335,1658,1658,0,0,0,0
Optimal,0,52,0.02888888888888889,1865,1865,0,207,207,0
