method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
NL-HMARL,0,1,0.0005555555555555556,0,0,0,0,0,0
NL-HMARL,0,2,0.0011111111111111111,0,0,0,0,0,0
NL-HMARL,0,3,0.0016666666666666666,0,0,0,0,0,0
NL-HMARL,0,4,0.0022222222222222222,0,0,0,0,0,0
NL-HMARL,0,5,0.002777777777777778,0,0,0,0,0,0
NL-HMARL,0,6,0.0033333333333333335,0,0,0,0,0,0
NL-HMARL,0,7,0.003888888888888889,0,0,0,0,0,0
NL-HMARL,0,8,0.0044444444444444444,0,0,0,0,0,0
NL-HMARL,0,9,0.005,8,8,0,8,8,0
NL-HMARL,0,10,0.005555555555555556,8,8,0,0,0,0
NL-HMARL,0,11,0.006111111111111111,8,8,0,0,0,0
NL-HMARL,0,12,0.006666666666666667,8,8,0,0,0,0
NL-HMARL,0,13,0.007222222222222223,8,8,0,0,0,0
NL-HMARL,0,14,0.007777777777777778,15,15,0,7,7,0
NL-HMARL,0,15,0.008333333333333333,15,15,0,0,0,0
NL-HMARL,0,16,0.008888888888888889,157,157,0,142,142,0
NL-HMARL,0,17,0.009444444444444445,157,157,0,0,0,0
NL-HMARL,0,18,0.01,157,157,0,0,0,0
NL-HMARL,0,19,0.010555555555555556,157,157,0,0,0,0
NL-HMARL,0,20,0.011111111111111112,157,157,0,0,0,0
NL-HMARL,0,21,0.011666666666666667,308,308,0,151,151,0
NL-HMARL,0,22,0.012222222222222223,308,308,0,0,0,0
NL-HMARL,0,23,0.012777777777777779,515,515,0,207,207,0
NL-HMARL,0,24,0.013333333333333334,515,515,0,0,0,0
NL-HMARL,0,25,0.01388888888888889,515,515,0,0,0,0
NL-HMARL,0,26,0.014444444444444446,515,515,0,0,0,0
NL-HMARL,0,27,0.015000000000000001,565,565,0,50,50,0
NL-HMARL,0,28,0.015555555555555557,565,565,0,0,0,0
NL-HMARL,0,29,0.01611111111111111,565,565,0,0,0,0
NL-HMARL,0,30,0.016666666666666666,832,832,0,267,267,0
NL-HMARL,0,31,0.017222222222222222,832,832,0,0,0,0
NL-HMARL,0,32,0.017777777777777778,832,832,0,0,0,0
NL-HMARL,0,33,0.018333333333333333,832,832,0,0,0,0
NL-HMARL,0,34,0.01888888888888889,832,832,0,0,0,0
NL-HMARL,0,35,0.019444444444444445,994,994,0,162,162,0
NL-HMARL,0,36,0.02,994,994,0,0,0,0
NL-HMARL,0,37,0.020555555555555556,1089,1089,0,95,95,0
NL-HMARL,0,38,0.021111111111111112,1089,1089,0,0,0,0
NL-HMARL,0,39,0.021666666666666667,1089,1089,0,0,0,0
NL-HMARL,0,40,0.022222222222222223,1089,1089,0,0,0,0
NL-HMARL,0,41,0.02277777777777778,1089,1089,0,0,0,0
NL-HMARL,0,42,0.023333333333333334,1089,1089,0,0,0,0
NL-HMARL,0,43,0.02388888888888889,1186,1186,0,97,97,0
NL-HMARL,0,44,0.024444444444444446,1186,1186,0,0,0,0
NL-HMARL,0,45,0.025,1186,1186,0,0,0,0
NL-HMARL,0,46,0.025555555555555557,1325,1325,0,139,139,0
NL-HMARL,0,47,0.026111111111111113,1325,1325,0,0,0,0
NL-HMARL,0,48,0.02666666666666667,1325,1325,0,0,0,0
NL-HMARL,0,49,0.027222222222222224,1345,1345,0,20,20,0
NL-HMARL,0,50,0.02777777777777778,1345,1345,0,0,0,0
