method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
Optimal,0,1,0.0005555555555555556,0,0,0,0,0,0
Optimal,0,2,0.0011111111111111111,0,0,0,0,0,0
Optimal,0,3,0.0016666666666666666,0,0,0,0,0,0
Optimal,0,4,0.0022222222222222222,0,0,0,0,0,0
Optimal,0,5,0.002777777777777778,0,0,0,0,0,0
Optimal,0,6,0.0033333333333333335,0,0,0,0,0,0
Optimal,0,7,0.003888888888888889,0,0,0,0,0,0
Optimal,0,8,0.0044444444444444444,73,73,0,73,73,0
Optimal,0,9,0.005,73,73,0,0,0,0
Optimal,0,10,0.005555555555555556,73,73,0,0,0,0
Optimal,0,11,0.006111111111111111,73,73,0,0,0,0
Optimal,0,12,0.006666666666666667,73,73,0,0,0,0
Optimal,0,13,0.007222222222222223,73,73,0,0,0,0
Optimal,0,14,0.007777777777777778,73,73,0,0,0,0
Optimal,0,15,0.008333333333333333,73,73,0,0,0,0
Optimal,0,16,0.008888888888888889,73,73,0,0,0,0
Optimal,0,17,0.009444444444444445,73,73,0,0,0,0
Optimal,0,18,0.01,73,73,0,0,0,0
Optimal,0,19,0.010555555555555556,135,135,0,62,62,0
Optimal,0,20,0.011111111111111112,135,135,0,0,0,0
Optimal,0,21,0.011666666666666667,135,135,0,0,0,0
Optimal,0,22,0.012222222222222223,135,135,0,0,0,0
Optimal,0,23,0.012777777777777779,135,135,0,0,0,0
Optimal,0,24,0.013333333333333334,283,283,0,148,148,0
Optimal,0,25,0.01388888888888889,283,283,0,0,0,0
Optimal,0,26,0.014444444444444446,283,283,0,0,0,0
Optimal,0,27,0.015000000000000001,283,283,0,0,0,0
Optimal,0,28,0.015555555555555557,283,283,0,0,0,0
Optimal,0,29,0.01611111111111111,283,283,0,0,0,0
Optimal,0,30,0.016666666666666666,372,372,0,89,89,0
Optimal,0,31,0.017222222222222222,372,372,0,0,0,0
Optimal,0,32,0.017777777777777778,372,372,0,0,0,0
Optimal,0,33,0.018333333333333333,538,538,0,166,166,0
Optimal,0,34,0.01888888888888889,538,538,0,0,0,0
Optimal,0,35,0.019444444444444445,538,538,0,0,0,0
Optimal,0,36,0.02,538,538,0,0,0,0
Optimal,0,37,0.020555555555555556,624,624,0,86,86,0
Optimal,0,38,0.021111111111111112,699,699,0,75,75,0
Optimal,0,39,0.021666666666666667,792,792,0,93,93,0
Optimal,0,40,0.022222222222222223,792,792,0,0,0,0
Optimal,0,41,0.02277777777777778,792,792,0,0,0,0
Optimal,0,42,0.023333333333333334,883,883,0,91,91,0
Optimal,0,43,0.02388888888888889,883,883,0,0,0,0
Optimal,0,44,0.024444444444444446,958,958,0,75,75,0
Optimal,0,45,0.025,958,958,0,0,0,0
Optimal,0,46,0.025555555555555557,971,971,0,13,13,0
Optimal,0,47,0.026111111111111113,971,971,0,0,0,0
Optimal,0,48,0.02666666666666667,971,971,0,0,0,0
Optimal,0,49,0.027222222222222224,971,971,0,0,0,0
Optimal,0,50,0.02777777777777778,971,971,0,0,0,0
Optimal,0,51,0.028333333333333335,971,971,0,0,0,0
Optimal,0,52,0.02888888888888889,1064,1064,0,93,93,0
Optimal,0,53,0.029444444444444447,1110,1110,0,46,46,0
