method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
Softmax-AC,0,1,0.0005555555555555556,0,0,0,0,0,0
Softmax-AC,0,2,0.0011111111111111111,0,0,0,0,0,0
Softmax-AC,0,3,0.0016666666666666666,0,0,0,0,0,0
Softmax-AC,0,4,0.0022222222222222222,0,0,0,0,0,0
Softmax-AC,0,5,0.002777777777777778,0,0,0,0,0,0
Softmax-AC,0,6,0.0033333333333333335,0,0,0,0,0,0
Softmax-AC,0,7,0.003888888888888889,264,264,0,264,264,0
Softmax-AC,0,8,0.0044444444444444444,264,264,0,0,0,0
Softmax-AC,0,9,0.005,264,264,0,0,0,0
Softmax-AC,0,10,0.005555555555555556,498,498,0,234,234,0
Softmax-AC,0,11,0.006111111111111111,498,498,0,0,0,0
Softmax-AC,0,12,0.006666666666666667,662,662,0,164,164,0
Softmax-AC,0,13,0.007222222222222223,662,662,0,0,0,0
Softmax-AC,0,14,0.007777777777777778,662,662,0,0,0,0
Softmax-AC,0,15,0.008333333333333333,662,662,0,0,0,0
Softmax-AC,0,16,0.008888888888888889,662,662,0,0,0,0
Softmax-AC,0,17,0.009444444444444445,857,857,0,195,195,0
Softmax-AC,0,18,0.01,857,857,0,0,0,0
Softmax-AC,0,19,0.010555555555555556,857,857,0,0,0,0
Softmax-AC,0,20,0.011111111111111112,857,857,0,0,0,0
Softmax-AC,0,21,0.011666666666666667,857,857,0,0,0,0
Softmax-AC,0,22,0.012222222222222223,857,857,0,0,0,0
Softmax-AC,0,23,0.012777777777777779,857,857,0,0,0,0
Softmax-AC,0,24,0.013333333333333334,1016,1016,0,159,159,0
Softmax-AC,0,25,0.01388888888888889,1090,1090,0,74,74,0
Softmax-AC,0,26,0.014444444444444446,1090,1090,0,0,0,0
Softmax-AC,0,27,0.015000000000000001,1090,1090,0,0,0,0
Softmax-AC,0,28,0.015555555555555557,1090,1090,0,0,0,0
Softmax-AC,0,29,0.01611111111111111,1188,1188,0,98,98,0
Softmax-AC,0,30,0.016666666666666666,1188,1188,0,0,0,0
Softmax-AC,0,31,0.017222222222222222,1188,1188,0,0,0,0
Softmax-AC,0,32,0.017777777777777778,1275,1275,0,87,87,0
Softmax-AC,0,33,0.018333333333333333,1350,1350,0,75,75,0
Softmax-AC,0,34,0.01888888888888889,1350,1350,0,0,0,0
Softmax-AC,0,35,0.019444444444444445,1350,1350,0,0,0,0
Softmax-AC,0,36,0.02,1632,1632,0,282,282,0
Softmax-AC,0,37,0.020555555555555556,1632,1632,0,0,0,0
Softmax-AC,0,38,0.021111111111111112,1632,1632,0,0,0,0
Softmax-AC,0,39,0.021666666666666667,1632,1632,0,0,0,0
Softmax-AC,0,40,0.022222222222222223,1727,1727,0,95,95,0
Softmax-AC,0,41,0.02277777777777778,1727,1727,0,0,0,0
Softmax-AC,0,42,0.023333333333333334,1727,1727,0,0,0,0
Softmax-AC,0,43,0.02388888888888889,1727,1727,0,0,0,0
Softmax-AC,0,44,0.024444444444444446,1727,1727,0,0,0,0
Softmax-AC,0,45,0.025,1824,1824,0,97,97,0
Softmax-AC,0,46,0.025555555555555557,2012,2012,0,188,188,0
Softmax-AC,0,47,0.026111111111111113,2012,2012,0,0,0,0
Softmax-AC,0,48,0.02666666666666667,2012,2012,0,0,0,0
Softmax-AC,0,49,0.027222222222222224,2012,2012,0,0,0,0
Softmax-AC,0,50,0.02777777777777778,2243,2243,0,231,231,0
Softmax-AC,0,51,0.028333333333333335,2243,2243,0,0,0,0
Softmax-AC,0,52,0.02888888888888889,2243,2243,0,0,0,0
Softmax-AC,0,53,0.029444444444444447,2419,2419,0,176,176,0
Softmax-AC,0,54,0.030000000000000002,2419,2419,0,0,0,0
Softmax-AC,0,55,0.030555555555555558,2653,2653,0,234,234,0
Softmax-AC,0,56,0.031111111111111114,2848,2848,0,195,195,0
Softmax-AC,0,57,0.03166666666666667,2848,2848,0,0,0,0
Softmax-AC,0,58,0.03222222222222222,2848,2848,0,0,0,0
Softmax-AC,0,59,0.032777777777777774,2848,2848,0,0,0,0
Softmax-AC,0,60,0.033333333333333326,2848,2848,0,0,0,0
Softmax-AC,0,61,0.03388888888888888,2848,2848,0,0,0,0
Softmax-AC,0,62,0.03444444444444443,2926,2926,0,78,78,0
Softmax-AC,0,63,0.03499999999999998,2926,2926,0,0,0,0
Softmax-AC,0,64,0.035555555555555535,2926,2926,0,0,0,0
Softmax-AC,0,65,0.03611111111111109,2926,2926,0,0,0,0
Softmax-AC,0,66,0.03666666666666664,3000,3000,0,74,74,0
Softmax-AC,0,67,0.03722222222222219,3000,3000,0,0,0,0
Softmax-AC,0,68,0.037777777777777743,3000,3000,0,0,0,0
Softmax-AC,0,69,0.038333333333333296,3000,3000,0,0,0,0
Softmax-AC,0,70,0.03888888888888885,3000,3000,0,0,0,0
Softmax-AC,0,71,0.0394444444444444,3000,3000,0,0,0,0
Softmax-AC,0,72,0.03999999999999995,3000,3000,0,0,0,0
Softmax-AC,0,73,0.040555555555555504,3000,3000,0,0,0,0
Softmax-AC,0,74,0.04111111111111106,3117,3117,0,117,117,0
Softmax-AC,0,75,0.04166666666666661,3117,3117,0,0,0,0
Softmax-AC,0,76,0.04222222222222216,3117,3117,0,0,0,0
Softmax-AC,0,77,0.04277777777777771,3117,3117,0,0,0,0
Softmax-AC,0,78,0.043333333333333265,3122,3122,0,5,5,0
Softmax-AC,0,79,0.04388888888888882,3386,3386,0,264,264,0
Softmax-AC,0,80,0.04444444444444437,3386,3386,0,0,0,0
Softmax-AC,0,81,0.04499999999999992,3386,3386,0,0,0,0
Softmax-AC,0,82,0.045555555555555474,3386,3386,0,0,0,0
Softmax-AC,0,83,0.046111111111111026,3386,3386,0,0,0,0
Softmax-AC,0,84,0.04666666666666658,3623,3623,0,237,237,0
Softmax-AC,0,85,0.04722222222222213,3623,3623,0,0,0,0
Softmax-AC,0,86,0.04777777777777768,3818,3818,0,195,195,0
Softmax-AC,0,87,0.048333333333333235,3818,3818,0,0,0,0
Softmax-AC,0,88,0.04888888888888879,3818,3818,0,0,0,0
Softmax-AC,0,89,0.04944444444444434,3818,3818,0,0,0,0
Softmax-AC,0,90,0.04999999999999989,3818,3818,0,0,0,0
Softmax-AC,0,91,0.050555555555555444,3818,3818,0,0,0,0
Softmax-AC,0,92,0.051111111111110996,3818,3818,0,0,0,0
Softmax-AC,0,93,0.05166666666666655,3866,3866,0,48,48,0
Softmax-AC,0,94,0.0522222222222221,3866,3866,0,0,0,0
Softmax-AC,0,95,0.05277777777777765,3866,3866,0,0,0,0
Softmax-AC,0,96,0.053333333333333205,3866,3866,0,0,0,0
Softmax-AC,0,97,0.05388888888888876,3866,3866,0,0,0,0
Softmax-AC,0,98,0.05444444444444431,3866,3866,0,0,0,0
Softmax-AC,0,99,0.05499999999999986,3866,3866,0,0,0,0
Softmax-AC,0,100,0.055555555555555414,3866,3866,0,0,0,0
Softmax-AC,0,101,0.056111111111110966,4148,4148,0,282,282,0
Softmax-AC,0,102,0.05666666666666652,4148,4148,0,0,0,0
Softmax-AC,0,103,0.05722222222222207,4364,4364,0,216,216,0
Softmax-AC,0,104,0.05777777777777762,4364,4364,0,0,0,0
Softmax-AC,0,105,0.058333333333333175,4364,4364,0,0,0,0
Softmax-AC,0,106,0.05888888888888873,4364,4364,0,0,0,0
Softmax-AC,0,107,0.05944444444444428,4552,4552,0,188,188,0
Softmax-AC,0,108,0.05999999999999983,4623,4623,0,71,71,0
Softmax-AC,0,109,0.06055555555555538,4623,4623,0,0,0,0
Softmax-AC,0,110,0.061111111111110936,4800,4800,0,177,177,0
Softmax-AC,0,111,0.06166666666666649,4800,4800,0,0,0,0
Softmax-AC,0,112,0.06222222222222204,4896,4896,0,96,96,0
