method,episode,step,time_h,base_cum,decayed_cum,penalty_cum,base_add,decayed_add,penalty_add
Softmax,0,1,0.0005555555555555556,0,0,0,0,0,0
Softmax,0,2,0.0011111111111111111,0,0,0,0,0,0
Softmax,0,3,0.0016666666666666666,0,0,0,0,0,0
Softmax,0,4,0.0022222222222222222,0,0,0,0,0,0
Softmax,0,5,0.002777777777777778,0,0,0,0,0,0
Softmax,0,6,0.0033333333333333335,0,0,0,0,0,0
Softmax,0,7,0.003888888888888889,0,0,0,0,0,0
Softmax,0,8,0.0044444444444444444,0,0,0,0,0,0
Softmax,0,9,0.005,0,0,0,0,0,0
Softmax,0,10,0.005555555555555556,0,0,0,0,0,0
Softmax,0,11,0.006111111111111111,0,0,0,0,0,0
Softmax,0,12,0.006666666666666667,0,0,0,0,0,0
Softmax,0,13,0.007222222222222223,0,0,0,0,0,0
Softmax,0,14,0.007777777777777778,134,134,0,134,134,0
Softmax,0,15,0.008333333333333333,134,134,0,0,0,0
Softmax,0,16,0.008888888888888889,134,134,0,0,0,0
Softmax,0,17,0.009444444444444445,182,182,0,48,48,0
Softmax,0,18,0.01,182,182,0,0,0,0
Softmax,0,19,0.010555555555555556,324,324,0,142,142,0
Softmax,0,20,0.011111111111111112,418,418,0,94,94,0
Softmax,0,21,0.011666666666666667,511,511,0,93,93,0
Softmax,0,22,0.012222222222222223,511,511,0,0,0,0
Softmax,0,23,0.012777777777777779,568,568,0,57,57,0
Softmax,0,24,0.013333333333333334,603,603,0,35,35,0
Softmax,0,25,0.01388888888888889,603,603,0,0,0,0
Softmax,0,26,0.014444444444444446,603,603,0,0,0,0
Softmax,0,27,0.015000000000000001,637,637,0,34,34,0
Softmax,0,28,0.015555555555555557,637,637,0,0,0,0
Softmax,0,29,0.01611111111111111,637,637,0,0,0,0
Softmax,0,30,0.016666666666666666,637,637,0,0,0,0
Softmax,0,31,0.017222222222222222,637,637,0,0,0,0
Softmax,0,32,0.017777777777777778,637,637,0,0,0,0
Softmax,0,33,0.018333333333333333,637,637,0,0,0,0
Softmax,0,34,0.01888888888888889,637,637,0,0,0,0
Softmax,0,35,0.019444444444444445,637,637,0,0,0,0
Softmax,0,36,0.02,638,638,0,1,1,0
Softmax,0,37,0.020555555555555556,638,638,0,0,0,0
Softmax,0,38,0.021111111111111112,710,710,0,72,72,0
Softmax,0,39,0.021666666666666667,710,710,0,0,0,0
Softmax,0,40,0.022222222222222223,752,752,0,42,42,0
Softmax,0,41,0.02277777777777778,752,752,0,0,0,0
Softmax,0,42,0.023333333333333334,752,752,0,0,0,0
Softmax,0,43,0.02388888888888889,752,752,0,0,0,0
Softmax,0,44,0.024444444444444446,792,792,0,40,40,0
Softmax,0,45,0.025,792,792,0,0,0,0
Softmax,0,46,0.025555555555555557,792,792,0,0,0,0
Softmax,0,47,0.026111111111111113,808,808,0,16,16,0
Softmax,0,48,0.02666666666666667,808,808,0,0,0,0
Softmax,0,49,0.027222222222222224,846,846,0,38,38,0
Softmax,0,50,0.02777777777777778,846,846,0,0,0,0
Softmax,0,51,0.028333333333333335,846,846,0,0,0,0
Softmax,0,52,0.02888888888888889,886,886,0,40,40,0
Softmax,0,53,0.029444444444444447,886,886,0,0,0,0
Softmax,0,54,0.030000000000000002,886,886,0,0,0,0
Softmax,0,55,0.030555555555555558,1009,1009,0,123,123,0
Softmax,0,56,0.031111111111111114,1009,1009,0,0,0,0
Softmax,0,57,0.03166666666666667,1154,1154,0,145,145,0
Softmax,0,58,0.03222222222222222,1183,1183,0,29,29,0
Softmax,0,59,0.032777777777777774,1183,1183,0,0,0,0
Softmax,0,60,0.033333333333333326,1183,1183,0,0,0,0
Softmax,0,61,0.03388888888888888,1288,1288,0,105,105,0
Softmax,0,62,0.03444444444444443,1288,1288,0,0,0,0
Softmax,0,63,0.03499999999999998,1288,1288,0,0,0,0
Softmax,0,64,0.035555555555555535,1288,1288,0,0,0,0
Softmax,0,65,0.03611111111111109,1311,1311,0,23,23,0
Softmax,0,66,0.03666666666666664,1311,1311,0,0,0,0
Softmax,0,67,0.03722222222222219,1311,1311,0,0,0,0
Softmax,0,68,0.037777777777777743,1311,1311,0,0,0,0
Softmax,0,69,0.038333333333333296,1311,1311,0,0,0,0
Softmax,0,70,0.03888888888888885,1368,1368,0,57,57,0
Softmax,0,71,0.0394444444444444,1441,1441,0,73,73,0
Softmax,0,72,0.03999999999999995,1441,1441,0,0,0,0
