step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
0,0.9999620007599899,,-2.25,-2.25,0.12782177329063416,0.12849967181682587,0.11309131234884262,0.14222486317157745,0.02033943496644497,-0.06971188634634018,-0.08118650317192078
1000,0.953631807280472,0.06333597004413605,-1.7500000000000002,-1.8393280924263602,-0.07118479162454605,-0.14502856135368347,-0.05450306087732315,-0.15143974125385284,-0.1272212713956833,0.25562310218811035,3.9034011363983154
2000,0.9095611639999435,0.062006060034036636,-6.25,-5.872582315128389,-1.0852043628692627,-1.0805917978286743,-1.0834683179855347,-1.049755573272705,-1.0876775979995728,-0.7028730511665344,3.5393409729003906
3000,0.8676398713548301,0.1390136480331421,-5.1499999999999995,-5.47823491316343,-1.0439507961273193,-1.0218377113342285,-0.9948757886886597,-1.0454031229019165,-0.9874563217163086,-0.632217288017273,3.046865701675415
4000,0.8277631042776928,0.09788553416728973,-5.949999999999999,-5.447791749807792,-1.1425670385360718,-1.0960652828216553,-1.0891621112823486,-1.1300499439239502,-1.139134168624878,-0.6160974502563477,3.4061279296875
5000,0.7898311500799586,0.041829001158475876,-5.1499999999999995,-6.0884332609862515,-1.0822019577026367,-1.1141281127929688,-1.1639516353607178,-1.1188100576400757,-1.1539475917816162,-0.7651413679122925,2.9934616088867188
6000,0.7537491591182605,0.03969309851527214,-5.25,-5.274097522203963,-1.1016017198562622,-1.1053550243377686,-1.1048139333724976,-1.0872910022735596,-1.0615829229354858,-0.8866109848022461,2.779435634613037
7000,0.7194269076209242,0.05996766686439514,-6.1499999999999995,-5.691813940324306,-1.0456620454788208,-1.0024152994155884,-0.9887586832046509,-1.007352590560913,-1.0068318843841553,-0.8659712076187134,2.7665417194366455
8000,0.6867785720815445,0.023935571312904358,-6.1499999999999995,-5.5728432913197565,-1.1950613260269165,-1.1934446096420288,-1.1907875537872314,-1.1871896982192993,-1.2442880868911743,-0.9382556676864624,3.1324944496154785
9000,0.655722514655514,0.12393591552972794,-7.05,-5.746657097784091,-1.1706808805465698,-1.1986639499664307,-1.1967777013778687,-1.170302152633667,-1.2723993062973022,-1.014034628868103,-0.33753734827041626
10000,0.6261810790228899,0.11061639338731766,-6.6499999999999995,-6.4265389761366505,-1.3482882976531982,-1.3343091011047363,-1.3178198337554932,-1.2842767238616943,-1.5368655920028687,-1.0424963235855103,-3.964096784591675
11000,0.5980803962071439,0.058052338659763336,-6.55,-6.564734695954632,-1.2951841354370117,-1.2892132997512817,-1.251259207725525,-1.2909202575683594,-1.603158950805664,-0.9326915740966797,-4.502783298492432
12000,0.5713501998642447,0.03884648531675339,-5.15,-5.458735971925681,-1.0387372970581055,-1.0503116846084595,-1.0670788288116455,-1.0366930961608887,-1.0108590126037598,-0.6245576739311218,-3.6514651775360107
