step,epsilon,loss,step_reward,avg_reward_ema,q_up,q_down,q_left,q_right,q_idle,q_pick,q_drop
0,0.9999620007599899,,-0.7891666666666668,-0.7891666666666668,0.011518103070557117,0.016266921535134315,0.01396798063069582,0.01415403001010418,-0.085674948990345,-0.18381193280220032,-0.18535304069519043
1000,0.953631807280472,0.05497068166732788,-2.6499999999999995,-1.6564837272676105,-0.35132938623428345,-0.3023014962673187,-0.34875625371932983,-0.2961544394493103,-0.3027154505252838,-0.2255450040102005,0.8508455157279968
2000,0.9095611639999435,0.03500382602214813,-6.1499999999999995,-5.598259334924588,-1.5097668170928955,-1.4472042322158813,-1.4615156650543213,-1.4858856201171875,-1.4524219036102295,-1.1332975625991821,1.0182148218154907
3000,0.8676398713548301,0.02192590944468975,-5.1499999999999995,-5.166460007516497,-1.118384599685669,-1.1329200267791748,-1.1059060096740723,-1.0841552019119263,-1.1762828826904297,-0.8110648393630981,2.36674165725708
4000,0.8277631042776928,0.02268996462225914,-4.95,-5.233415916953973,-1.1233799457550049,-1.10553777217865,-1.1409449577331543,-1.068127155303955,-1.0785396099090576,-0.9151046872138977,2.304884195327759
5000,0.7898311500799586,0.019225725904107094,-5.05,-5.253137956769107,-1.0878808498382568,-1.029160737991333,-1.1117055416107178,-0.9752876162528992,-1.089914083480835,-0.7595133185386658,2.252533435821533
6000,0.7537491591182605,0.01628778874874115,-5.949999999999999,-5.137212061193427,-1.0712871551513672,-1.0389223098754883,-1.073873519897461,-1.0603046417236328,-1.090291976928711,-0.5919755697250366,2.209380626678467
7000,0.7194269076209242,0.01799885183572769,-5.15,-4.9541950909971435,-1.049170732498169,-0.9997333288192749,-1.0417242050170898,-1.0238233804702759,-1.0272053480148315,-0.7088974714279175,2.1284501552581787
8000,0.6867785720815445,0.013783851638436317,-5.1499999999999995,-4.963431581576966,-1.0379526615142822,-1.032604455947876,-0.9752786755561829,-1.0504481792449951,-1.0809307098388672,-0.6027698516845703,2.755195140838623
9000,0.655722514655514,0.02906402200460434,-6.05,-5.637124019520968,-1.3170102834701538,-1.3149645328521729,-1.1480463743209839,-1.1126943826675415,-0.7166388630867004,-1.0518678426742554,0.4351803660392761
10000,0.6261810790228899,0.02951008640229702,-5.85,-5.591208007711764,-1.1651488542556763,-1.0826823711395264,-1.0920464992523193,-1.0898258686065674,-1.278955101966858,-0.9699277877807617,-0.7908567190170288
11000,0.5980803962071439,0.019995516166090965,-5.25,-6.271259416657592,-1.3099812269210815,-1.3230171203613281,-1.3011953830718994,-1.2654005289077759,-2.1576225757598877,-1.2664157152175903,-1.6464697122573853
12000,0.5713501998642447,0.027357924729585648,-4.95,-5.349403545912737,-1.1503641605377197,-1.093212366104126,-1.0794600248336792,-1.1211639642715454,-2.0306997299194336,-1.0498316287994385,-1.572776436805725
13000,0.5459236505801979,0.018424831330776215,-5.75,-5.508198808369497,-1.2501025199890137,-1.2364609241485596,-1.252622127532959,-1.2898035049438477,-1.2887611389160156,-1.066015601158142,-0.8021408915519714
14000,0.5217371687376948,0.014078711159527302,-5.25,-5.831092097471221,-1.0535131692886353,-1.057464838027954,-1.0836139917373657,-1.0263499021530151,-1.0589921474456787,-0.779051661491394,-0.4688095152378082
15000,0.4987302755339536,0.014615355990827084,-5.050000000000001,-5.2954679109692675,-1.0773351192474365,-1.1197208166122437,-1.063574194908142,-1.082732915878296,-1.0854865312576294,-0.6607453227043152,-0.393950492143631
16000,0.4768454417522095,0.014013124629855156,-5.25,-5.5084919954434,-1.11135995388031,-1.1388263702392578,-1.1231508255004883,-1.1302372217178345,-1.126832365989685,-0.9104481935501099,-0.8337773084640503
17000,0.45602794390870727,0.009764915332198143,-5.25,-5.428257338879903,-1.0521528720855713,-1.1032251119613647,-1.1028614044189453,-1.0876027345657349,-1.1044751405715942,-0.7356332540512085,-0.6347844004631042
18000,0.4362257274154878,0.004858286119997501,-5.25,-5.277277013036287,-1.087908387184143,-1.0562368631362915,-1.0791980028152466,-1.0592544078826904,-1.0685371160507202,-0.5967472791671753,-0.09872783720493317
19000,0.4173892764168041,0.001256368588656187,-5.25,-5.370069218499228,-1.0403506755828857,-1.0513408184051514,-1.0396816730499268,-1.0454440116882324,-1.0434644222259521,-0.6694146990776062,-0.34740716218948364
20000,0.3994714899736903,0.0021480978466570377,-5.25,-5.289770526642173,-1.0784944295883179,-1.0510222911834717,-1.0704119205474854,-1.0571622848510742,-1.0457175970077515,-0.5621626973152161,-0.05382741615176201
21000,0.38242756428708047,0.004501366056501865,-5.25,-5.480683295562983,-1.0473814010620117,-1.0498460531234741,-1.042904257774353,-1.0526211261749268,-1.042604923248291,-0.5252777338027954,-0.09341416507959366
22000,0.3662148806649737,0.008633973076939583,-5.25,-5.4175352751483095,-1.188631296157837,-1.1384636163711548,-1.1340042352676392,-1.257362723350525,-1.1283892393112183,-0.5567304491996765,0.10307873785495758
23000,0.35079289895350485,0.005570342764258385,-5.75,-5.373546978772105,-1.0732685327529907,-1.087188482284546,-1.086172342300415,-1.0586926937103271,-1.0666007995605469,-0.5430909395217896,0.39627110958099365
24000,0.33612305616544386,0.005066154524683952,-5.25,-5.25212234972414,-1.0724706649780273,-1.0789496898651123,-1.0588796138763428,-1.0398694276809692,-1.0400199890136719,-0.5448695421218872,0.1199447363615036
25000,0.3221686700526406,0.0020736202131956816,-5.25,-5.2856312904351705,-1.069446325302124,-1.0777384042739868,-1.0668470859527588,-1.0736356973648071,-1.0629078149795532,-0.6044661402702332,-0.1910506635904312
26000,0.3088948473812981,0.0031975647434592247,-6.25,-5.361548940845899,-1.2291536331176758,-1.1996949911117554,-1.2100250720977783,-1.1221996545791626,-1.2414977550506592,-0.6376781463623047,-0.14264655113220215
27000,0.29626839668071236,0.0036790184676647186,-5.25,-5.276264188732771,-1.0683188438415527,-1.056726098060608,-1.0759779214859009,-1.0692893266677856,-1.0568395853042603,-0.6444575190544128,-0.3004530966281891
28000,0.28425774524730757,0.005247144028544426,-5.25,-5.290829282365213,-1.0499175786972046,-1.0503294467926025,-1.040928602218628,-1.046631097793579,-1.0480495691299438,-0.6471988558769226,-0.504979133605957
