step 0/10000 mL=1.016 rew=-1.50
step 500/10000 mL=nan rew=-50.00
step 1000/10000 mL=nan rew=-50.00
step 1500/10000 mL=nan rew=-50.00
step 2000/10000 mL=0.745 rew=-50.00
step 2500/10000 mL=-0.166 rew=-50.00
step 3000/10000 mL=nan rew=-13.00
step 3500/10000 mL=nan rew=-50.00
step 4000/10000 mL=-0.164 rew=-24.00
step 4500/10000 mL=10.115 rew=3.00
step 5000/10000 mL=nan rew=4.50
step 5500/10000 mL=7.722 rew=3.00
step 6000/10000 mL=nan rew=2.50
step 6500/10000 mL=nan rew=-50.00
step 7000/10000 mL=nan rew=-50.00
step 7500/10000 mL=37.930 rew=-43.00
step 8000/10000 mL=2.276 rew=-50.00
step 8500/10000 mL=nan rew=-50.00
step 9000/10000 mL=5.183 rew=-50.00
step 9500/10000 mL=nan rew=-50.00
