step 0/10000 mL=0.002 rew=-0.15
step 500/10000 mL=-0.029 rew=-0.43
step 1000/10000 mL=0.356 rew=-1.19
step 1500/10000 mL=nan rew=-1.54
step 2000/10000 mL=nan rew=-1.51
step 2500/10000 mL=nan rew=-1.39
step 3000/10000 mL=0.019 rew=-1.57
step 3500/10000 mL=nan rew=-1.54
step 4000/10000 mL=nan rew=-1.43
step 4500/10000 mL=nan rew=-1.38
step 5000/10000 mL=nan rew=-1.38
step 5500/10000 mL=nan rew=-1.38
step 6000/10000 mL=nan rew=-1.38
step 6500/10000 mL=nan rew=-1.38
step 7000/10000 mL=nan rew=-1.38
step 7500/10000 mL=nan rew=-1.38
step 8000/10000 mL=nan rew=-1.38
step 8500/10000 mL=nan rew=-1.38
step 9000/10000 mL=nan rew=-1.38
step 9500/10000 mL=nan rew=-1.38
step 0/20000 mL=0.007 rew=-0.20
step 500/20000 mL=nan rew=-0.69
step 1000/20000 mL=-0.028 rew=-0.64
step 1500/20000 mL=nan rew=-1.40
step 2000/20000 mL=-0.023 rew=-1.39
step 2500/20000 mL=-0.028 rew=-1.36
step 3000/20000 mL=nan rew=-1.49
step 3500/20000 mL=-0.024 rew=-1.53
step 4000/20000 mL=nan rew=-1.79
step 4500/20000 mL=nan rew=-1.33
step 5000/20000 mL=nan rew=-1.33
step 5500/20000 mL=nan rew=-1.33
step 6000/20000 mL=nan rew=-1.33
step 6500/20000 mL=nan rew=-1.33
step 7000/20000 mL=nan rew=-1.33
step 7500/20000 mL=nan rew=-1.33
step 8000/20000 mL=nan rew=-1.33
step 8500/20000 mL=nan rew=-1.33
step 9000/20000 mL=nan rew=-1.33
step 9500/20000 mL=nan rew=-1.33
step 10000/20000 mL=nan rew=-1.33
step 10500/20000 mL=nan rew=-1.33
step 11000/20000 mL=nan rew=-1.33
step 11500/20000 mL=nan rew=-1.33
step 12000/20000 mL=nan rew=-1.33
step 12500/20000 mL=nan rew=-1.33
step 13000/20000 mL=nan rew=-1.33
step 13500/20000 mL=nan rew=-1.33
step 14000/20000 mL=nan rew=-1.33
