slot_id,x,y,z,max_weight,max_height,max_width,max_depth
0,0,0,0,4000,150,150,150
1,0,0,1,3000,150,150,150
2,0,0,2,2000,150,150,150
3,1,0,0,4000,150,150,150
4,1,0,1,3000,150,150,150
5,1,0,2,2000,150,150,150
6,2,0,0,4000,150,150,150
7,2,0,1,3000,150,150,150
8,2,0,2,2000,150,150,150
9,3,0,0,4000,150,150,150
10,3,0,1,3000,150,150,150
11,3,0,2,2000,150,150,150
12,4,0,0,4000,150,150,150
13,4,0,1,3000,150,150,150
14,4,0,2,2000,150,150,150
15,5,0,0,4000,150,150,150
16,5,0,1,3000,150,150,150
17,5,0,2,2000,150,150,150
18,6,0,0,4000,150,150,150
19,6,0,1,3000,150,150,150
20,6,0,2,2000,150,150,150
21,7,0,0,4000,150,150,150
22,7,0,1,3000,150,150,150
23,7,0,2,2000,150,150,150
24,8,0,0,4000,150,150,150
25,8,0,1,3000,150,150,150
26,8,0,2,2000,150,150,150
27,9,0,0,4000,150,150,150
28,9,0,1,3000,150,150,150
29,9,0,2,2000,150,150,150
30,10,0,0,4000,150,150,150
31,10,0,1,3000,150,150,150
32,10,0,2,2000,150,150,150
33,11,0,0,4000,150,150,150
34,11,0,1,3000,150,150,150
35,11,0,2,2000,150,150,150
36,12,0,0,4000,150,150,150
37,12,0,1,3000,150,150,150
38,12,0,2,2000,150,150,150
39,13,0,0,4000,150,150,150
40,13,0,1,3000,150,150,150
41,13,0,2,2000,150,150,150
42,14,0,0,4000,150,150,150
43,14,0,1,3000,150,150,150
44,14,0,2,2000,150,150,150
45,15,0,0,4000,150,150,150
46,15,0,1,3000,150,150,150
47,15,0,2,2000,150,150,150
48,16,0,0,4000,150,150,150
49,16,0,1,3000,150,150,150
50,16,0,2,2000,150,150,150
51,17,0,0,4000,150,150,150
52,17,0,1,3000,150,150,150
53,17,0,2,2000,150,150,150
54,18,0,0,4000,150,150,150
55,18,0,1,3000,150,150,150
56,18,0,2,2000,150,150,150
57,19,0,0,4000,150,150,150
58,19,0,1,3000,150,150,150
59,19,0,2,2000,150,150,150
60,20,0,0,4000,150,150,150
61,20,0,1,3000,150,150,150
62,20,0,2,2000,150,150,150
63,21,0,0,4000,150,150,150
64,21,0,1,3000,150,150,150
65,21,0,2,2000,150,150,150
66,22,0,0,4000,150,150,150
67,22,0,1,3000,150,150,150
68,22,0,2,2000,150,150,150
69,23,0,0,4000,150,150,150
70,23,0,1,3000,150,150,150
71,23,0,2,2000,150,150,150
72,24,0,0,4000,150,150,150
73,24,0,1,3000,150,150,150
74,24,0,2,2000,150,150,150
75,25,0,0,4000,150,150,150
76,25,0,1,3000,150,150,150
77,25,0,2,2000,150,150,150
78,26,0,0,4000,150,150,150
79,26,0,1,3000,150,150,150
80,26,0,2,2000,150,150,150
81,27,0,0,4000,150,150,150
82,27,0,1,3000,150,150,150
83,27,0,2,2000,150,150,150
84,28,0,0,4000,150,150,150
85,28,0,1,3000,150,150,150
86,28,0,2,2000,150,150,150
87,29,0,0,4000,150,150,150
88,29,0,1,3000,150,150,150
89,29,0,2,2000,150,150,150
90,30,0,0,4000,150,150,150
91,30,0,1,3000,150,150,150
92,30,0,2,2000,150,150,150
93,31,0,0,4000,150,150,150
94,31,0,1,3000,150,150,150
95,31,0,2,2000,150,150,150
96,32,0,0,4000,150,150,150
97,32,0,1,3000,150,150,150
98,32,0,2,2000,150,150,150
99,33,0,0,4000,150,150,150
100,33,0,1,3000,150,150,150
101,33,0,2,2000,150,150,150
102,34,0,0,4000,150,150,150
103,34,0,1,3000,150,150,150
104,34,0,2,2000,150,150,150
105,35,0,0,4000,150,150,150
106,35,0,1,3000,150,150,150
107,35,0,2,2000,150,150,150
108,36,0,0,4000,150,150,150
